,id_,area_id_,node_id_,act_date,deact_date,has_loan,is_act,t_date,t_type,t_amt,has_credit_card,account_type
0,1,Australia,4,02-01-2020,03-01-2020,1,0,02-01-2020,deposit,312,0,Current
1,1,Australia,4,02-01-2020,03-01-2020,1,0,05-03-2020,purchase,612,0,Current
2,1,Australia,4,02-01-2020,03-01-2020,1,0,17-03-2020,deposit,324,1,Current
3,1,Australia,4,02-01-2020,03-01-2020,1,0,19-03-2020,purchase,664,1,Savings
4,1,Australia,4,04-01-2020,14-01-2020,0,0,02-01-2020,deposit,312,0,Current
5,1,Australia,4,04-01-2020,14-01-2020,0,0,05-03-2020,purchase,612,0,Current
6,1,Australia,4,04-01-2020,14-01-2020,0,0,17-03-2020,deposit,324,1,Current
7,1,Australia,4,04-01-2020,14-01-2020,0,0,19-03-2020,purchase,664,1,Savings
8,1,Australia,2,15-01-2020,16-01-2020,0,0,02-01-2020,deposit,312,0,Current
9,1,Australia,2,15-01-2020,16-01-2020,0,0,05-03-2020,purchase,612,0,Current
10,1,Australia,2,15-01-2020,16-01-2020,0,0,17-03-2020,deposit,324,1,Current
11,1,Australia,2,15-01-2020,16-01-2020,0,0,19-03-2020,purchase,664,1,Savings
12,1,Australia,5,17-01-2020,28-01-2020,0,0,02-01-2020,deposit,312,0,Current
13,1,Australia,5,17-01-2020,28-01-2020,0,0,05-03-2020,purchase,612,0,Current
14,1,Australia,5,17-01-2020,28-01-2020,0,0,17-03-2020,deposit,324,1,Current
15,1,Australia,5,17-01-2020,28-01-2020,0,0,19-03-2020,purchase,664,1,Savings
16,1,Australia,3,29-01-2020,18-02-2020,1,0,02-01-2020,deposit,312,0,Current
17,1,Australia,3,29-01-2020,18-02-2020,1,0,05-03-2020,purchase,612,0,Current
18,1,Australia,3,29-01-2020,18-02-2020,1,0,17-03-2020,deposit,324,1,Current
19,1,Australia,3,29-01-2020,18-02-2020,1,0,19-03-2020,purchase,664,1,Savings
20,1,Australia,2,19-02-2020,16-03-2020,0,1,02-01-2020,deposit,312,0,Current
21,1,Australia,2,19-02-2020,16-03-2020,0,1,05-03-2020,purchase,612,0,Current
22,1,Australia,2,19-02-2020,16-03-2020,0,1,17-03-2020,deposit,324,1,Current
23,1,Australia,2,19-02-2020,16-03-2020,0,1,19-03-2020,purchase,664,1,Savings
24,1,Australia,2,17-03-2020,17-03-2020,0,1,02-01-2020,deposit,312,0,Current
25,1,Australia,2,17-03-2020,17-03-2020,0,1,05-03-2020,purchase,612,0,Current
26,1,Australia,2,17-03-2020,17-03-2020,0,1,17-03-2020,deposit,324,1,Current
27,1,Australia,2,17-03-2020,17-03-2020,0,1,19-03-2020,purchase,664,1,Savings
28,2,Australia,5,03-01-2020,17-01-2020,0,1,03-01-2020,deposit,549,1,Current
29,2,Australia,5,03-01-2020,17-01-2020,0,1,24-03-2020,deposit,61,0,Current
30,2,Australia,3,18-01-2020,09-02-2020,0,1,03-01-2020,deposit,549,1,Current
31,2,Australia,3,18-01-2020,09-02-2020,0,1,24-03-2020,deposit,61,0,Current
