Order_ID,Order Date-Time,Order_Priority,Cost
3,10/13/2010-12:48:1,LOW,Rs 13
293,10/1/2012-3:19:50,HIGH,Rs 24
483,7/10/2011-23:42:34,HIGH,Rs 99
515,8/28/2010-12:30:1,NOT SPECIFIED,Rs 56
613,6/17/2011-5:43:15,HIGH,Rs 41
643,3/24/2011-21:14:16,HIGH,Rs 78
678,2/26/2010-11:29:21,LOW,Rs 311
807,11/23/2010-2:55:58,MEDIUM,Rs 11
868,6/8/2012-2:4:6,NOT SPECIFIED,Rs 46
933,8/4/2012-3:39:23,NOT SPECIFIED,Rs 55
995,5/30/2011-9:7:31,MEDIUM,Rs 111
998,11/25/2009-23:30:28,NOT SPECIFIED,Rs 84
1154,2/14/2012-2:59:5,CRITICAL,Rs 12
1344,4/15/2012-17:14:43,LOW,Rs 86
1412,3/12/2010-1:25:39,NOT SPECIFIED,Rs 25
1539,3/9/2011-13:59:44,LOW,Rs 26
1540,8/4/2012-23:49:29,HIGH,Rs 86
1702,5/6/2011-18:4:1,HIGH,Rs 66
1761,12/23/2010-16:49:34,HIGH,Rs 76
1792,11/8/2010-18:46:11,LOW,Rs 96
2275,10/21/2012-1:31:55,NOT SPECIFIED,Rs 11
2277,1/1/2011-9:26:28,NOT SPECIFIED,Rs 54
2532,10/10/2011-6:33:29,HIGH,Rs 96
2631,9/23/2010-17:30:59,LOW,Rs 64
2757,7/19/2011-15:40:41,CRITICAL,Rs 26
2791,10/9/2009-22:39:37,HIGH,Rs 73
2976,12/9/2010-15:59:30,NOT SPECIFIED,Rs 72
3232,10/8/2012-3:16:25,CRITICAL,Rs 36
3524,5/2/2012-8:26:20,HIGH,Rs 38
3908,3/8/2010-15:52:20,MEDIUM,Rs 14
4132,5/28/2011-11:40:37,NOT SPECIFIED,Rs 76
4612,9/19/2010-12:48:55,MEDIUM,Rs 47
4676,8/31/2011-13:39:40,HIGH,Rs 68
5284,7/8/2011-8:14:8,NOT SPECIFIED,Rs 68
5316,1/30/2009-3:22:53,CRITICAL,Rs 9
5409,1/8/2012-4:24:14,LOW,Rs 86
5506,11/7/2010-1:57:3,CRITICAL,Rs 15
5569,4/29/2010-12:37:45,NOT SPECIFIED,Rs 7
5607,12/31/2011-16:42:48,NOT SPECIFIED,Rs 411
5894,8/12/2009-19:48:18,HIGH,Rs 52
5925,11/12/2011-17:3:50,LOW,Rs 36
6016,1/20/2012-15:26:18,HIGH,Rs 84
6116,3/20/2009-4:54:38,MEDIUM,Rs 47
6182,7/21/2012-9:21:22,LOW,Rs 28
6535,6/12/2012-11:23:51,CRITICAL,Rs 69
6884,1/15/2009-11:3:58,LOW,Rs 41
6916,6/4/2010-14:52:13,LOW,Rs 52
6980,2/18/2010-4:57:14,NOT SPECIFIED,Rs 511
6982,11/16/2011-6:56:55,NOT SPECIFIED,Rs 75
7110,8/7/2011-9:6:54,LOW,Rs 25
7430,6/8/2010-17:22:42,MEDIUM,Rs 99
7906,10/17/2009-3:57:39,MEDIUM,Rs 18
8391,8/28/2011-19:48:42,HIGH,Rs 97
8419,9/29/2011-13:12:54,CRITICAL,Rs 64
8833,5/4/2012-17:7:54,LOW,Rs 9
8995,5/17/2011-16:33:41,HIGH,Rs 99
9126,11/17/2009-2:10:30,MEDIUM,Rs 62
9127,10/10/2011-14:7:16,NOT SPECIFIED,Rs 34
9509,10/7/2012-3:26:22,NOT SPECIFIED,Rs 39
9763,8/13/2011-8:6:12,MEDIUM,Rs 29
9927,8/16/2011-8:48:33,HIGH,Rs 33
10022,3/4/2009-9:55:43,LOW,Rs 72
10437,8/18/2009-18:26:31,CRITICAL,Rs 2
10499,11/16/2010-8:56:31,NOT SPECIFIED,Rs 9
10535,5/27/2011-17:31:47,LOW,Rs 99
10789,8/23/2010-2:41:30,NOT SPECIFIED,Rs 99
10791,8/19/2011-4:7:48,NOT SPECIFIED,Rs 38
10945,1/3/2012-19:5:41,MEDIUM,Rs 29
11137,11/29/2012-17:40:46,HIGH,Rs 83
11202,3/17/2012-21:26:23,MEDIUM,Rs 93
11456,4/12/2010-6:11:59,LOW,Rs 13
11460,8/24/2010-15:17:58,HIGH,Rs 67
11495,7/4/2011-10:26:46,HIGH,Rs 58
11911,11/10/2010-16:36:11,CRITICAL,Rs 23
11941,6/24/2010-12:53:14,CRITICAL,Rs 47
12096,9/19/2012-13:51:15,MEDIUM,Rs 7
12289,12/24/2011-22:33:22,LOW,Rs 25
12352,3/23/2012-11:27:29,MEDIUM,Rs 611
12419,10/15/2011-10:59:32,CRITICAL,Rs 46
12485,8/7/2010-8:8:21,CRITICAL,Rs 31
12544,3/3/2009-2:35:28,LOW,Rs 32
12704,2/9/2010-23:19:10,LOW,Rs 44
12771,1/17/2009-1:51:7,CRITICAL,Rs 99
12929,8/30/2010-5:21:18,CRITICAL,Rs 58
13280,9/11/2009-20:1:2,HIGH,Rs 611
13313,7/16/2009-3:28:9,NOT SPECIFIED,Rs 96
13346,11/15/2012-14:43:31,LOW,Rs 26
13702,9/10/2011-9:11:9,LOW,Rs 47
13795,4/10/2011-6:25:53,NOT SPECIFIED,Rs 76
14116,10/9/2011-4:14:23,HIGH,Rs 93
14372,10/23/2012-14:45:13,CRITICAL,Rs 34
14726,1/8/2012-14:4:1,LOW,Rs 44
14819,1/25/2010-12:57:59,NOT SPECIFIED,Rs 2
15106,1/27/2011-9:28:46,NOT SPECIFIED,Rs 44
15108,8/27/2009-7:18:57,HIGH,Rs 99
15205,3/17/2011-10:2:33,CRITICAL,Rs 81
15591,6/6/2012-18:24:46,CRITICAL,Rs 83
15907,4/11/2011-8:49:55,HIGH,Rs 99
15937,11/6/2012-17:15:54,LOW,Rs 911
16039,5/16/2012-7:15:50,HIGH,Rs 511
16193,4/9/2012-2:47:19,NOT SPECIFIED,Rs 77
16423,8/5/2012-2:46:47,MEDIUM,Rs 73
16451,7/22/2009-16:35:48,NOT SPECIFIED,Rs 32
16545,5/9/2010-5:20:29,NOT SPECIFIED,Rs 31
16547,2/18/2009-5:53:11,NOT SPECIFIED,Rs 22
16706,6/27/2012-4:31:54,HIGH,Rs 8
16741,9/30/2010-6:39:26,MEDIUM,Rs 71
16932,4/15/2010-6:6:42,CRITICAL,Rs 4
17283,9/14/2011-19:8:40,NOT SPECIFIED,Rs 58
17286,9/21/2010-3:13:38,HIGH,Rs 39
17409,8/17/2010-7:5:11,NOT SPECIFIED,Rs 38
17764,9/16/2009-2:13:24,LOW,Rs 61
18080,6/22/2009-9:19:12,HIGH,Rs 77
18113,8/28/2012-17:36:56,NOT SPECIFIED,Rs 411
18144,6/7/2011-8:13:55,CRITICAL,Rs 99
18308,10/9/2009-15:27:22,NOT SPECIFIED,Rs 17
18887,12/5/2010-18:3:16,NOT SPECIFIED,Rs 57
19010,6/7/2009-16:10:58,LOW,Rs 65
19078,7/27/2009-14:59:52,CRITICAL,Rs 55
19138,9/5/2011-11:24:13,LOW,Rs 511
19655,1/11/2009-17:23:51,HIGH,Rs 47
19686,8/15/2010-14:44:40,MEDIUM,Rs 15
20007,8/5/2009-19:8:14,NOT SPECIFIED,Rs 3
20071,9/17/2011-20:4:30,MEDIUM,Rs 43
20160,10/22/2011-16:16:18,LOW,Rs 76
20263,11/14/2009-4:11:43,MEDIUM,Rs 2
21285,7/3/2010-7:20:18,MEDIUM,Rs 66
21383,1/30/2009-12:11:13,LOW,Rs 2
21607,3/15/2012-20:19:34,NOT SPECIFIED,Rs 31
21636,8/10/2009-18:26:2,LOW,Rs 711
21889,4/1/2010-1:47:47,LOW,Rs 48
22151,7/31/2010-15:32:33,HIGH,Rs 69
22342,5/29/2009-4:45:19,LOW,Rs 63
22469,10/11/2010-1:35:25,HIGH,Rs 44
22501,5/18/2010-10:41:12,HIGH,Rs 211
22532,2/8/2011-17:41:1,CRITICAL,Rs 74
23264,12/7/2010-18:45:59,CRITICAL,Rs 24
23488,1/6/2009-23:28:38,CRITICAL,Rs 35
23584,3/12/2012-4:32:50,CRITICAL,Rs 15
24007,8/26/2010-7:40:35,LOW,Rs 26
24038,6/20/2011-1:54:48,HIGH,Rs 97
24097,8/4/2010-5:11:12,HIGH,Rs 72
24128,11/23/2010-1:27:49,HIGH,Rs 37
24294,8/2/2009-20:52:29,NOT SPECIFIED,Rs 81
24387,8/10/2011-15:23:22,CRITICAL,Rs 8
24515,5/6/2010-12:41:37,CRITICAL,Rs 54
24743,6/28/2012-8:1:6,LOW,Rs 811
24871,3/23/2011-11:50:29,MEDIUM,Rs 9
25318,11/19/2011-4:18:55,CRITICAL,Rs 811
25377,11/26/2012-20:18:22,LOW,Rs 911
25634,7/29/2010-19:53:57,NOT SPECIFIED,Rs 52
25733,5/12/2012-10:27:32,LOW,Rs 84
25767,3/3/2012-7:41:15,HIGH,Rs 411
26023,8/20/2010-14:55:34,HIGH,Rs 15
26051,6/27/2010-9:41:28,NOT SPECIFIED,Rs 28
26116,10/29/2012-16:13:49,CRITICAL,Rs 311
26182,1/16/2010-22:44:22,NOT SPECIFIED,Rs 911
26272,6/29/2012-5:1:8,LOW,Rs 56
26370,8/8/2011-15:11:19,NOT SPECIFIED,Rs 55
26499,2/21/2010-13:47:34,MEDIUM,Rs 81
26531,6/20/2011-23:19:36,MEDIUM,Rs 38
26567,9/4/2009-4:51:7,CRITICAL,Rs 35
26854,6/21/2009-23:33:8,NOT SPECIFIED,Rs 23
27109,2/8/2012-16:28:27,CRITICAL,Rs 52
27111,3/11/2009-23:29:38,HIGH,Rs 88
27264,6/4/2011-9:37:31,LOW,Rs 2
27392,3/2/2012-5:33:59,LOW,Rs 43
27553,8/12/2011-19:40:10,MEDIUM,Rs 15
27555,9/1/2009-1:13:3,CRITICAL,Rs 23
27680,1/26/2010-14:17:49,CRITICAL,Rs 85
27778,9/2/2011-10:29:48,CRITICAL,Rs 9
27909,2/7/2012-1:24:55,CRITICAL,Rs 511
28003,3/19/2011-3:47:19,CRITICAL,Rs 57
28035,5/8/2011-22:46:24,NOT SPECIFIED,Rs 37
28135,9/25/2009-11:45:35,CRITICAL,Rs 79
28165,7/9/2012-21:5:51,NOT SPECIFIED,Rs 48
28289,1/14/2010-13:26:51,HIGH,Rs 82
28486,8/26/2009-10:17:3,HIGH,Rs 91
28675,10/8/2009-4:40:17,CRITICAL,Rs 25
28870,11/10/2011-8:21:44,HIGH,Rs 59
28871,4/15/2012-20:58:30,HIGH,Rs 25
29030,1/2/2012-1:21:48,MEDIUM,Rs 62
29095,3/8/2011-12:33:29,NOT SPECIFIED,Rs 18
29287,7/2/2009-16:1:57,HIGH,Rs 86
29510,4/15/2011-13:38:28,CRITICAL,Rs 71
29795,11/25/2011-9:2:55,HIGH,Rs 48
29861,4/25/2012-20:53:54,CRITICAL,Rs 48
30658,3/26/2011-8:47:30,MEDIUM,Rs 411
30947,7/14/2010-1:15:51,LOW,Rs 76
31077,10/23/2010-21:9:32,NOT SPECIFIED,Rs 611
31111,8/24/2009-18:52:59,NOT SPECIFIED,Rs 111
31169,6/9/2011-10:27:56,LOW,Rs 33
31270,11/23/2012-12:45:51,MEDIUM,Rs 96
31364,5/1/2009-23:30:43,NOT SPECIFIED,Rs 81
31393,5/11/2012-15:44:23,CRITICAL,Rs 811
31492,10/15/2010-16:14:32,CRITICAL,Rs 65
31558,7/23/2011-6:17:16,LOW,Rs 13
31618,7/11/2011-16:28:4,CRITICAL,Rs 52
31684,9/16/2012-18:39:25,CRITICAL,Rs 55
31781,1/16/2009-2:4:55,MEDIUM,Rs 34
32193,10/20/2010-12:37:13,LOW,Rs 72
32229,8/30/2010-12:15:56,HIGH,Rs 83
32743,5/7/2010-21:20:18,CRITICAL,Rs 28
32806,6/21/2011-3:33:23,CRITICAL,Rs 17
33123,11/24/2010-20:28:26,MEDIUM,Rs 17
33159,4/27/2012-13:1:37,MEDIUM,Rs 75
33186,8/28/2012-3:35:48,LOW,Rs 96
33377,7/31/2011-21:27:20,HIGH,Rs 62
33444,10/6/2012-17:22:40,MEDIUM,Rs 86
33703,2/6/2010-20:36:11,NOT SPECIFIED,Rs 99
33734,10/17/2011-22:40:34,NOT SPECIFIED,Rs 43
33888,8/20/2009-11:42:44,NOT SPECIFIED,Rs 47
33894,6/14/2010-7:14:8,CRITICAL,Rs 4
33922,2/27/2010-15:47:7,NOT SPECIFIED,Rs 17
34177,8/15/2009-16:42:49,HIGH,Rs 21
